Date,Weekly_Sales,rolling_mean
2010-02-05,49750740.5,
2010-02-12,48336677.63,
2010-02-19,48276993.78,
2010-02-26,43968571.13,
2010-03-05,46871470.3,
2010-03-12,45925396.51,
2010-03-19,44988974.64,
2010-03-26,44133961.05,
2010-04-02,50423831.26,
2010-04-09,47365290.44,
2010-04-16,45183667.08,
2010-04-23,44734452.56,46663335.57333333
2010-04-30,43705126.71,46159534.42416667
2010-05-07,48503243.52,46173414.915
2010-05-14,45330080.2,45927838.78333333
2010-05-21,45120108.06,46023800.19416666
2010-05-28,47757502.56,46097636.215833336
2010-06-04,50188543.12,46452898.43333333
2010-06-11,47826546.72,46689362.77333333
2010-06-18,47622046.23,46980036.538333334
2010-06-25,46609036.29,46662136.9575
2010-07-02,48917484.5,46791486.4625
2010-07-09,47899529.37,47017808.32
2010-07-16,46243899.58,47143595.571666665
2010-07-23,44888849.11,47242239.105
2010-07-30,44630363.42,46919499.096666664
2010-08-06,48204999.12,47159075.67333334
2010-08-13,46464418.41,47271101.53583333
2010-08-20,47060952.92,47213055.732499994
2010-08-27,45909740.44,46856488.8425
2010-09-03,47194257.61,46803798.083333336
2010-09-10,45634397.84,46638160.7175
2010-09-17,43080726.51,46344134.902499996
2010-09-24,41358514.41,45714220.72833333
2010-10-01,42239875.87,45242582.93666667
2010-10-08,45102974.23,45147505.82416666
2010-10-15,43149473.45,45002557.8525
2010-10-22,43066669.52,44872250.0275
2010-10-29,43602830.95,44488736.013333336
2010-11-05,45781981.89,44431866.303333335
2010-11-12,46124800.83,44353853.62916667
2010-11-19,45125584.18,44288507.274166666
2010-11-26,65821003.24,45840736.07666666
2010-12-03,49909027.88,46196955.24666667
2010-12-10,55666770.39,47245792.23666667
2010-12-17,61820799.85,48950982.69
2010-12-24,80931415.6,52175277.6675
2010-12-31,40432519.0,51786073.065
2011-01-07,42775787.77,51754932.59166666
2011-01-14,40673678.04,51555516.635
2011-01-21,40654648.03,51309834.725
2011-01-28,39599852.99,50794657.31666667
2011-02-04,46153111.12,50797016.5075
2011-02-11,47336192.79,50981233.89166667
2011-02-18,48716164.12,49555830.63166667
2011-02-25,44125859.84,49073899.96166667
2011-03-04,46980603.74,48350052.740833335
2011-03-11,44627319.4,46917262.70333334
2011-03-18,44872325.97,43912338.567499995
2011-03-25,42876199.18,44115978.582499996
2011-04-01,43458991.19,44172912.20083333
2011-04-08,45887466.8,44607394.597500004
2011-04-15,44973328.14,44967284.60666666
2011-04-22,48676692.06,45723687.862500004
2011-04-29,43530032.78,45505098.00083333
2011-05-06,46861958.29,45465578.45916667
2011-05-13,45446144.82,45193076.850833334
2011-05-20,44046598.01,45186471.69833333
2011-05-27,45293457.04,45045876.13999999
2011-06-03,48771994.18,45391265.705000006
2011-06-10,47669734.66,45624383.09583333
2011-06-17,47447561.77,46005329.97833333
2011-06-24,45884094.58,46207421.9275
2011-07-01,47578519.5,46348342.98583334
2011-07-08,47859263.78,46588837.6225
2011-07-15,45515929.92,46325440.7775
2011-07-22,45274411.39,46470805.66166666
2011-07-29,43683274.28,46205915.32750001
2011-08-05,48015466.97,46420025.50666666
2011-08-12,46249569.21,46603606.44
2011-08-19,46917347.62,46738930.655
2011-08-26,47416948.45,46626010.1775
2011-09-02,45376623.27,46434917.56166667
2011-09-09,46763227.53,46377889.708333336
2011-09-16,43793960.08,46203711.833333336
2011-09-23,42718096.73,45798676.6025
2011-09-30,42195830.81,45326723.855
2011-10-07,47211688.36,45468037.05833333
2011-10-14,44374820.3,45393071.134166665
2011-10-21,45818953.44,45571044.3975
2011-10-28,45855821.05,45391073.90416667
2011-11-04,48655544.3,45591571.82833334
2011-11-11,48474224.75,45721311.58916667
2011-11-18,46438980.56,45639814.26500001
